"ID_BAR","ID_BEBEDOR","HORARIO","FECHA_ULTIMA_VISITA"
7,101,"nocturno",24-SEP-11
29,559,"nocturno",07-SEP-11
48,652,"diurno",11-SEP-11
49,955,"diurno",01-OCT-11
25,370,"nocturno",07-SEP-11
55,514,"todos",26-SEP-11
53,433,"diurno",01-SEP-11
7,964,"nocturno",14-AUG-11
43,364,"nocturno",05-SEP-11
25,119,"diurno",25-AUG-11
32,579,"nocturno",29-AUG-11
18,625,"diurno",02-SEP-11
12,898,"nocturno",19-SEP-11
23,172,"todos",02-SEP-11
15,398,"nocturno",13-SEP-11
17,479,"nocturno",24-SEP-11
12,306,"todos",29-AUG-11
39,166,"todos",30-SEP-11
51,209,"diurno",28-AUG-11
16,327,"diurno",19-AUG-11
53,438,"diurno",26-SEP-11
52,874,"diurno",30-SEP-11
31,308,"todos",29-AUG-11
1,392,"todos",21-AUG-11
46,95,"diurno",29-SEP-11
48,524,"nocturno",21-SEP-11
9,889,"diurno",16-AUG-11
27,134,"todos",16-SEP-11
42,688,"nocturno",11-SEP-11
47,739,"diurno",30-AUG-11
45,373,"diurno",13-SEP-11
28,995,"nocturno",24-SEP-11
3,432,"diurno",06-SEP-11
25,205,"nocturno",29-AUG-11
11,581,"diurno",15-AUG-11
18,124,"todos",25-AUG-11
32,632,"nocturno",12-SEP-11
19,566,"todos",25-AUG-11
39,267,"nocturno",22-AUG-11
48,556,"todos",21-SEP-11
28,572,"todos",29-AUG-11
1,36,"todos",25-SEP-11
6,481,"diurno",27-AUG-11
10,381,"todos",24-SEP-11
35,494,"todos",30-AUG-11
1,232,"diurno",24-SEP-11
17,299,"diurno",01-SEP-11
28,381,"diurno",07-SEP-11
8,188,"todos",05-SEP-11
54,740,"todos",30-AUG-11
32,382,"todos",22-AUG-11
17,631,"nocturno",03-SEP-11
49,660,"nocturno",14-AUG-11
48,892,"diurno",27-AUG-11
34,898,"nocturno",07-SEP-11
12,586,"diurno",27-AUG-11
3,422,"diurno",16-AUG-11
31,272,"diurno",23-AUG-11
26,284,"nocturno",13-SEP-11
49,133,"nocturno",24-SEP-11
35,854,"todos",24-SEP-11
16,439,"nocturno",22-AUG-11
4,351,"todos",26-SEP-11
24,113,"todos",02-SEP-11
2,184,"nocturno",14-SEP-11
17,386,"todos",09-SEP-11
38,252,"nocturno",16-SEP-11
20,823,"todos",02-SEP-11
26,556,"todos",21-SEP-11
42,202,"todos",28-AUG-11
43,781,"diurno",23-SEP-11
37,991,"diurno",02-SEP-11
40,696,"nocturno",17-AUG-11
27,473,"diurno",13-SEP-11
9,531,"nocturno",02-SEP-11
15,710,"nocturno",14-AUG-11
21,680,"todos",23-SEP-11
17,901,"nocturno",28-AUG-11
25,392,"todos",16-SEP-11
14,862,"nocturno",19-SEP-11
45,294,"nocturno",20-SEP-11
54,639,"nocturno",29-AUG-11
22,903,"todos",16-SEP-11
48,506,"diurno",20-SEP-11
10,494,"todos",14-SEP-11
34,857,"diurno",01-OCT-11
4,948,"todos",18-SEP-11
23,739,"todos",01-SEP-11
34,470,"diurno",20-SEP-11
9,31,"nocturno",19-SEP-11
45,300,"todos",16-AUG-11
16,530,"diurno",14-SEP-11
7,793,"diurno",03-SEP-11
1,442,"todos",07-SEP-11
32,511,"diurno",27-AUG-11
23,27,"nocturno",25-AUG-11
46,177,"diurno",06-SEP-11
29,417,"nocturno",25-SEP-11
38,658,"nocturno",07-SEP-11
4,839,"diurno",23-SEP-11
49,323,"todos",16-SEP-11
38,424,"diurno",16-AUG-11
8,788,"nocturno",16-SEP-11
32,373,"todos",16-AUG-11
52,17,"todos",29-AUG-11
18,38,"todos",09-SEP-11
36,631,"todos",31-AUG-11
29,452,"diurno",06-SEP-11
15,699,"todos",23-SEP-11
13,550,"nocturno",21-AUG-11
43,260,"todos",07-SEP-11
34,816,"diurno",28-SEP-11
31,581,"todos",01-SEP-11
16,973,"todos",11-SEP-11
9,874,"diurno",06-SEP-11
8,94,"diurno",14-AUG-11
43,955,"diurno",05-SEP-11
39,753,"nocturno",06-SEP-11
43,620,"nocturno",16-AUG-11
53,121,"nocturno",05-SEP-11
53,718,"nocturno",01-OCT-11
1,95,"diurno",15-AUG-11
42,208,"diurno",06-SEP-11
21,882,"diurno",06-SEP-11
43,660,"todos",27-AUG-11
38,638,"diurno",06-SEP-11
10,3,"nocturno",30-AUG-11
29,46,"todos",15-AUG-11
15,476,"todos",21-SEP-11
34,976,"nocturno",24-AUG-11
43,81,"todos",25-AUG-11
14,592,"diurno",14-AUG-11
47,1,"diurno",26-SEP-11
8,767,"nocturno",25-AUG-11
18,49,"todos",25-AUG-11
54,167,"diurno",25-AUG-11
1,257,"diurno",18-SEP-11
27,142,"todos",28-AUG-11
27,813,"diurno",26-SEP-11
36,188,"nocturno",19-AUG-11
15,718,"nocturno",29-AUG-11
29,14,"diurno",23-AUG-11
33,83,"diurno",30-SEP-11
24,453,"diurno",26-AUG-11
19,993,"diurno",21-AUG-11
50,881,"diurno",30-AUG-11
42,871,"diurno",22-AUG-11
51,662,"nocturno",29-AUG-11
23,933,"todos",16-SEP-11
55,350,"todos",01-OCT-11
20,640,"diurno",01-OCT-11
8,669,"nocturno",23-SEP-11
20,274,"nocturno",16-SEP-11
51,528,"todos",19-SEP-11
21,5,"nocturno",04-SEP-11
27,551,"todos",26-SEP-11
20,86,"diurno",16-AUG-11
12,904,"todos",25-AUG-11
15,58,"diurno",29-AUG-11
1,407,"diurno",24-SEP-11
24,80,"nocturno",11-SEP-11
36,183,"nocturno",29-SEP-11
17,781,"todos",31-AUG-11
48,367,"nocturno",01-SEP-11
29,254,"diurno",03-SEP-11
27,601,"diurno",29-AUG-11
31,59,"diurno",29-SEP-11
47,339,"nocturno",23-AUG-11
31,392,"diurno",09-SEP-11
6,216,"todos",29-AUG-11
8,778,"diurno",18-SEP-11
48,964,"diurno",25-AUG-11
3,913,"diurno",25-AUG-11
13,666,"diurno",24-AUG-11
16,550,"nocturno",24-SEP-11
6,304,"diurno",25-AUG-11
40,556,"diurno",01-OCT-11
