"NUMERO_CUENTA","NOMBRE_MENU","NOMBRE_RESTAURANTE","CANTIDAD","ENTREGADO"
"2912491851","else sits","Cogilith",13,"1"
"7999901757","dreams generated","Cogilith",13,"0"
"1081632196","ill sill","Cogilith",1,"0"
"7633127526","numbers was","Cogilith",16,"1"
"0224074947","lock good","Cogilith",10,"1"
"3995567508","constantly sofa","Cogilith",12,"1"
"0205707981","many red","Cogilith",17,"0"
"5982708091","we or","Nlounge",16,"1"
"8016946524","I wicket","Nlounge",8,"1"
"9360277353","words headphones","Nlounge",5,"1"
"4655908522","in from","Nlounge",18,"0"
"8894124353","rabbit rescue","Nlounge",7,"1"
"8977245717","boon find","Nlounge",10,"1"
"2741309808","demanded monster","Nlounge",2,"1"
"3104167057","want secretly","Nlounge",3,"1"
"8303012134","write worn","Nlounge",18,"0"
"1964234196","what find","Nlounge",6,"1"
"9451690674","hot interest","Nlounge",11,"1"
"2701998558","list island","Nlounge",15,"0"
"8441982567","window wicket","Nlounge",19,"0"
"5984255584","caves show","Nlounge",7,"0"
"5212828694","good no","Nlounge",12,"1"
"5190095289","ghost people","Nlounge",18,"1"
"6956090467","light throw","Nlounge",19,"0"
"5699300755","good no","Nlounge",10,"1"
"7837733851","build do","Wikibox",18,"1"
"8702354001","as trying","Wikibox",18,"0"
"2231500708","or maybe pull","Wikibox",12,"1"
"8400559518","end want","Wikibox",15,"0"
"7999901757","had hid","Wikibox",15,"1"
"8739847005","suspense had","Wikibox",9,"1"
"5657309854","or is","Wikibox",4,"1"
"6322262881","ill rabbit","Wikibox",19,"0"
"9451690674","rescue it","Wikibox",9,"0"
"0243974179","interest enter","Nlounge",6,"0"
"2231699302","to open","Nlounge",9,"1"
"6698014634","trying open","Nlounge",11,"0"
"7083476380","probably no","Nlounge",12,"1"
"4334351482","was from","Nlounge",19,"0"
"5085506373","list island","Nlounge",19,"0"
"7843272819","man days","Nlounge",3,"0"
"6139177862","write ship","Nlounge",3,"1"
"6784751826","waited show","Nlounge",1,"0"
"5534500344","man days","Nlounge",15,"0"
"5896672335","ship with","Nlounge",8,"0"
"3221386869","it white","Nlounge",12,"0"
"0554619174","hot dad","Nlounge",16,"0"
"4518188965","demanded monster","Nlounge",12,"0"
"8549638986","window wicket","Nlounge",14,"0"
"8921196660","computer dad","Nlounge",9,"1"
"7946880180","fire had","Nlounge",19,"0"
"9794641290","had much","Nlounge",14,"1"
"3170498518","find hold","Nlounge",8,"1"
"3810607432","ending are","Nlounge",7,"0"
"7367167814","I wicket","Nlounge",11,"0"
"9259957059","of headphones","Nlounge",10,"1"
"2032181849","it white","Nlounge",12,"1"
"5805538088","trying open","Nlounge",19,"1"
"4127125232","headphones will","Nlounge",14,"0"
"8141302530","when light","Nlounge",16,"1"
"7616520521","on write","Nlounge",3,"0"
"5851214264","probably days","Nlounge",1,"1"
"6426332421","boon find","Nlounge",12,"1"
"1351405532","what find","Nlounge",3,"0"
"2972364185","from sofa","Nlounge",14,"1"
"3673332256","cold always","Nlounge",13,"0"
"6139177862","man boon","Nlounge",18,"1"
"7053043825","fire white","Kaymbo",18,"1"
"2111016915","constantly a","Kaymbo",9,"1"
"6851065454","smoke have","Kaymbo",4,"0"
"5915184812","assert no","Kaymbo",11,"1"
"3901247786","banging text","Kaymbo",8,"1"
"8100372391","will they","Kaymbo",16,"1"
"7300288309","through library","Kaymbo",8,"0"
"4710981589","hot took","Kaymbo",17,"0"
"3990785234","much keys","Centimia",8,"0"
"3819687109","my always","Centimia",19,"0"
"8380859654","came headphones","Centimia",15,"0"
"9845755273","ball people","Centimia",15,"1"
"2438554300","the where","Centimia",2,"1"
"3639202677","rescue lots","Centimia",5,"0"
"4013532686","waited had","Centimia",11,"0"
"8445957017","computer keys","Centimia",16,"1"
"8705659159","library hold","Centimia",13,"0"
"6627326925","want plane","Nlounge",10,"0"
"6675769879","red trees","Nlounge",1,"1"
"2150603051","it library","Nlounge",10,"0"
"2699371513","in monster","Nlounge",16,"1"
"4551263341","light I","Nlounge",15,"1"
"2808452067","of headphones","Nlounge",14,"1"
"2200558597","was from","Nlounge",13,"1"
"2803848838","fire had","Nlounge",19,"0"
"0039505630","trying should","Nlounge",11,"0"
"8977245717","on text","Nlounge",7,"0"
"2922483704","visions computer","Cogilith",5,"0"
"9095959717","probably else","Nlounge",14,"0"
"0948526691","web out","Nlounge",8,"0"
"2183246650","pique crash","Nlounge",10,"0"
"6307467498","sits caves","Nlounge",6,"0"
"7956172248","moved ball","Nlounge",3,"1"
"6417232276","computer dad","Nlounge",3,"0"
"7300288309","badly smoke","Nlounge",3,"1"
"3283341228","a to","Rhyloo",6,"0"
"3765555606","find hat","Rhyloo",2,"0"
"6943904359","the worn","Rhyloo",9,"0"
"4733923646","television who","Rhyloo",12,"0"
"0962749370","world list","Rhyloo",2,"0"
"9479036547","my the","Rhyloo",9,"0"
"7367167814","speed are","Rhyloo",1,"0"
"7023164407","died sill","Rhyloo",3,"0"
