"ID_PLATO","ID_INGREDIENTE"
549534,8768
846562,6862
83595,1341
50191,4436
942115,3349
688173,4741
70912,1432
698872,2806
620606,3349
751194,9943
767678,6958
229635,1672
830226,2481
472173,4136
627069,9431
545201,2732
63734,7279
577424,8045
496991,290
315202,107
44306,8769
133983,9106
661023,5884
266727,688
12553,7453
262251,3790
441349,6887
845800,6254
913811,3101
231864,8049
775085,2020
559694,4413
385191,9650
492404,4593
943156,4
44174,8645
926638,8183
880978,714
768793,5936
61311,4561
991460,9819
169360,6062
899508,444
419727,3476
944274,6903
724491,3540
66996,330
299295,5327
794026,1696
954178,8661
414138,2912
766931,8519
466541,7282
336972,5831
392605,1617
653625,5181
469712,7713
252702,463
110450,7099
190022,5334
635769,8431
294298,8654
770294,9777
493265,9542
109823,4305
835784,8921
707972,6951
355939,1522
589616,1612
924767,6092
738186,8019
26268,5522
935999,8845
389353,5937
407760,6184
518753,3092
320559,7903
869082,6206
521649,8213
297509,2419
112879,5442
726754,6705
82197,5302
107166,5811
564711,5816
204821,3789
547297,5647
238441,8889
589341,2330
170592,630
778324,6314
281939,620
655811,5875
165606,5141
921884,7193
103652,7563
419968,3066
241583,5538
902363,7016
611234,8038
274328,3078
304154,7522
587561,6958
42471,7024
322197,8058
973608,1643
94976,4784
876667,9385
704992,1725
759165,2313
849782,1593
421196,1713
281169,3719
365449,8003
894209,5913
207229,5860
67216,5019
515918,3824
39621,2792
132113,9126
194115,7974
498429,7715
669071,3990
126820,2904
835959,5330
27254,7550
116902,2429
86594,2236
626483,2629
219749,9282
167770,7391
23513,9707
24067,7737
825526,3772
737862,4371
56051,5480
842211,948
17165,4159
349650,1922
262558,7871
504472,5480
637967,5160
964423,7089
750119,3617
361319,5521
578040,8812
965418,9972
954409,3996
404543,450
409006,3072
781600,1421
801443,2174
438892,3416
211066,5297
114425,667
913361,6019
965053,8108
811593,7616
819336,3415
520267,4714
447280,8701
831033,869
867982,5386
363167,3324
395343,5971
444269,1913
244866,6199
187206,5553
664820,8145
341081,438
594104,8794
495036,8791
42144,222
324271,5964
471109,9057
780737,1429
696260,3358
995817,6047
618704,4893
989306,3499
505294,6200
521264,3438
752249,6963
424059,6781
614819,8166
67780,5324
493922,820
242596,4692
323257,1485
365910,9685
320206,7038
877535,2202
940368,9764
892702,2871
39577,8375
721285,8890
884148,5793
360873,3806
488641,1755
621545,9399
956249,4573
694215,1462
988942,1789
960261,2013
672583,184
159919,2858
107927,4697
549660,4444
687489,3205
476079,3273
685985,5952
651091,9893
30988,8394
788786,8389
723958,3059
149138,9967
144787,4247
223952,5936
234885,9685
523822,8072
415320,3031
430280,7931
797881,8193
695754,482
814861,7301
167158,8074
174975,1129
224589,321
106771,7584
598855,3363
834731,5989
371412,1118
308812,2115
719164,468
243379,2204
763571,1407
114836,9406
600239,2789
564578,8191
589179,6974
360147,9785
390535,8271
465582,8454
51860,4811
573684,4857
589385,3919
974905,9817
504751,6190
440533,425
96492,2275
873097,973
231949,4895
673405,1472
855913,3704
443084,2993
331165,7865
691788,8879
976692,6465
335764,1144
793691,2365
701151,6546
524168,2485
617329,9478
234303,8840
579477,3675
50088,686
727287,9915
631341,2780
81569,4112
950669,8745
43892,2506
566571,6904
192083,3602
504794,7516
423727,6876
557328,8854
11915,7274
694101,7731
830488,7752
347548,5818
871074,7966
790073,6567
831364,8405
403319,5457
260137,9223
376974,245
310497,8079
924270,1612
168636,5199
572328,7754
561674,2542
489103,7765
951509,4949
428460,3090
751532,1601
755586,5719
857419,6014
666559,5934
894356,4885
108948,1330
993564,4514
821363,9276
302184,7915
735054,8404
510360,6734
40140,9234
874876,3436
428881,2004
763624,6528
105826,7642
810561,4506
907567,5149
970773,6514
96317,602
441318,1618
272169,4332
190685,6656
836157,4477
732780,5192
213423,741
826553,5900
977397,399
123148,5639
892283,248
152120,7406
447418,1770
151211,8201
543942,7201
761793,8723
983582,5111
801245,903
78245,5869
157719,5843
75944,4446
655543,8084
882004,2092
45828,2818
316309,3938
204192,6007
832909,7548
94037,7907
138264,7258
756479,1434
992674,6769
912850,9252
432605,7546
437580,4581
109649,1922
444664,3053
700796,1317
24929,8256
362938,8778
397187,2640
136778,5229
663728,7951
501613,466
829979,7076
982385,2740
515242,7092
577534,3991
931174,4064
216855,5021
220034,7602
987021,8222
155395,8217
700075,9000
21745,7082
604621,3454
432409,2642
644808,1145
135659,3801
85774,121
931502,3562
320021,2515
516342,1629
802099,2955
978725,8504
177450,7310
984108,7539
61557,9034
274596,5331
685526,4673
215383,3996
640322,5786
553510,3035
122664,514
834828,5060
13083,8207
831491,143
924874,6462
117568,1261
835637,6950
723525,401
161499,5660
493558,3412
888470,8232
849149,5806
865667,3866
419437,6255
52882,2215
635299,177
166962,9120
225844,4490
356952,6745
250827,3751
549020,1816
348216,8879
443067,7904
282806,2256
961492,7070
575457,971
665168,6576
388164,4030
997122,960
328389,6646
812389,5559
715578,2437
670884,4284
724292,3997
499899,212
726412,2813
113650,8626
407059,9334
413533,6101
56712,4421
989517,5924
723310,6275
63753,9206
896546,9070
417255,5352
858786,2034
853019,9461
53164,3200
29412,5547
393289,4354
581825,2501
296207,95
790217,9181
846648,3318
256324,1927
498001,4718
575779,6335
882757,6741
863342,2498
869581,172
720986,8803
144558,8852
807940,4269
900812,3925
752858,7031
219886,2808
125361,4170
613256,7094
760511,6410
204656,655
963771,2653
772297,611
67974,9178
494419,7897
412543,50
480512,1555
404216,5859
544482,5180
327566,3563
856889,7455
216707,150
130990,2525
712827,779
230732,2867
250574,4110
893901,4333
905676,228
148522,8902
558940,3017
186974,6520
973351,3861
974761,3617
136338,2277
931229,7682
625881,7891
359385,9286
614824,5327
171688,490
11186,8412
186154,4909
303554,7740
27066,4955
463983,4044
611515,2171
154451,7102
671365,2
55234,3577
130426,6083
240059,8624
982562,1468
570109,4412
497958,3329
329718,2490
101253,7178
979318,1314
133154,6618
981310,9183
565909,7011
261529,3706
787386,2211
150918,2455
84527,5309
404802,7741
605589,5466
398886,1385
589208,1064
867538,9546
831595,4548
546159,4804
875937,510
719118,8283
369892,9412
456777,431
188441,312
7602,81
9322,73
7150,60
6928,81
2609,2
9748,22
4646,75
4653,58
9484,60
5490,34
6685,56
4015,23
867,78
507,31
5957,68
8210,47
6124,86
5654,54
2512,33
5213,49
9412,69
1965,34
5294,87
7011,72
5389,36
712,94
6033,83
634,11
2731,79
7397,77
3046,79
1251,28
8739,57
9849,95
6797,8
3962,84
335,72
8674,18
5775,75
541,49
5127,29
5553,93
5168,5
2123,72
4287,42
6153,53
8379,37
2681,33
7105,35
7772,94
3928,68
4923,72
3727,54
9046,72
135,79
6628,49
5761,13
5401,57
3931,59
4938,22
9058,99
9604,85
70,60
1896,7
7110,5
9881,42
4384,88
3930,47
2952,55
75,57
4420,88
9636,4
6515,7
378,84
1502,9
3690,26
73,39
5004,38
3431,70
2671,10
3433,18
352,14
1730,49
2137,68
7149,69
1228,94
5275,71
7300,15
3909,49
9468,36
8237,54
7497,72
9706,91
5778,83
2000,59
3413,85
7069,64
369,62
6595,92
9570,4
6911,62
7977,56
3890,44
1778,88
603,62
9254,93
3374,4
3821,92
1075,21
4645,14
2769,66
1594,91
7581,73
4315,81
6952,33
190,5
5057,76
1282,8
6109,57
9546,8
8820,17
5379,37
5650,7
8925,34
7087,36
991,62
2174,18
4807,25
9699,53
2783,24
9010,24
5082,20
166,78
7513,24
4743,21
3542,32
3804,90
4385,13
8143,28
5822,11
7895,25
4860,48
3065,42
9732,33
3064,86
7907,41
165,87
7170,93
6847,91
698,98
4857,49
1482,37
5515,4
6202,6
6595,91
7257,97
4922,94
2610,41
6681,89
6084,12
1067,49
9773,99
1553,69
1904,90
5046,79
2513,1
6026,39
171,97
3544,62
1746,92
7211,55
8275,96
2272,38
5449,65
5088,92
7460,74
4913,85
3045,30
8426,88
6366,24
5574,7
4615,23
1229,82
672,81
758,79
1673,15
4778,70
4386,56
3645,4
2289,2
721,34
3494,34
1037,14
937,14
3291,99
1695,92
1000,69
6129,92
1123,98
5279,16
7573,97
3413,32
6582,65
8240,60
1894,3
4982,36
8470,92
3590,39
3160,84
6824,41
1608,47
3928,34
115,69
6046,53
793,99
2194,50
9139,98
434,81
5581,98
7667,57
9896,11
7807,4
2788,42
8872,10
6692,61
1601,5
7103,38
1325,83
2502,90
2393,31
9211,81
8834,77
6310,5
798,30
441,66
7533,73
8251,96
5732,93
5253,60
3053,68
4608,77
8669,30
6470,3
2201,42
6677,6
7358,61
6432,53
6027,88
2186,67
5861,34
3248,60
8727,75
2208,66
3192,35
1318,7
2011,37
9849,85
3624,81
5267,74
8227,54
6252,77
1298,91
2982,84
2901,55
6620,59
7757,84
6175,78
9378,81
6991,30
1640,32
3863,62
6037,31
8185,94
9464,77
2695,59
6087,10
3840,6
7945,68
5413,86
6407,44
1047,42
9616,52
8485,85
9535,58
9708,67
9771,14
3834,72
6546,32
8106,22
2320,95
4914,23
9348,31
7223,55
9566,65
2467,23
6739,85
9686,44
6722,39
6658,45
6493,57
1805,30
2456,13
5029,58
4374,55
4342,92
2652,93
5667,67
7677,89
1687,45
8591,31
5810,44
7928,58
6899,1
3512,20
4351,83
5163,20
9106,40
9743,51
5463,1
6283,88
6822,79
2788,88
1248,32
2541,23
7211,96
2849,62
9305,63
3852,12
4009,27
2077,80
6565,19
8019,36
7163,36
7746,61
4969,18
388,29
1697,95
4674,87
133,70
9732,76
5552,65
9935,84
7024,44
4095,34
9689,40
1761,61
8318,49
9067,70
8930,89
6942,40
4130,7
8210,2
5696,7
9213,63
5369,53
9975,28
4278,18
954,89
2449,29
2621,51
7732,1
3924,86
194,80
8405,52
2994,83
1833,91
8932,74
5657,48
8307,3
6343,73
4281,76
7938,53
1200,98
7623,40
5921,92
3146,47
5143,38
7312,9
2623,16
6638,9
8888,78
6454,27
1442,39
116,36
9960,9
916,31
8287,50
1405,78
3672,38
844,65
3209,28
4145,41
7180,62
4343,27
157,10
7214,76
5042,5
4913,75
8343,24
8564,5
6447,25
7751,28
8434,16
3603,55
4608,49
4728,14
4474,53
6894,86
3732,69
3307,26
1871,49
8113,62
152,75
7254,5
3929,13
2306,47
4592,26
6674,90
3209,58
8866,44
9132,76
2651,82
9100,59
2080,11
1563,44
9852,3
4919,22
5127,66
8757,1
4044,86
6713,92
8031,32
4160,85
436,4
421,10
6698,1
2693,17
9783,28
6689,70
5753,84
3219,51
3367,82
502,2
6078,71
3922,41
4693,69
3139,85
4939,48
1031,52
495,64
5086,91
2327,86
5626,9
299,30
2335,51
6524,24
5968,9
8972,53
6189,26
1374,82
8861,54
5566,72
4923,33
9765,2
6082,66
3072,91
3480,16
7764,69
2299,80
9992,51
7548,30
6786,50
1079,66
5426,74
6946,1
4422,30
4091,74
766,21
3997,90
2114,31
2695,9
5150,86
5276,24
5172,55
4090,70
9896,53
4965,53
6239,48
5282,67
3385,3
7246,65
5787,48
3523,96
1113,79
8999,77
8701,73
7874,5
4432,28
844,13
3330,19
6963,16
3221,90
1801,77
33,96
2009,8
8568,99
6632,14
6638,77
1341,92
3720,26
7777,18
2655,42
8825,57
1894,35
807,77
7479,41
1797,3
4310,79
9750,79
1224,98
1131,79
3125,52
4796,77
1769,72
8892,22
1335,40
1439,55
5465,79
5244,34
5128,53
2340,39
693,70
6705,85
3575,30
9453,97
7,83
9555,4
3476,75
94,38
7145,30
778,78
4367,17
2840,46
7587,91
9201,81
4793,18
9319,99
5460,77
1562,63
4442,71
9254,4
5167,12
8178,72
618,32
9673,29
713,7
1977,47
1115,96
6615,39
9105,73
179,89
1353,28
276,79
6790,32
8740,50
4695,24
3272,13
6486,36
7083,60
8980,22
8857,52
7215,76
7897,72
1735,38
9974,19
1711,24
866,2
8074,10
4383,70
3946,89
6064,74
3008,60
6430,3
6216,85
3949,36
6159,1
9486,87
3111,57
7552,40
5671,82
9221,52
3840,32
2343,49
6913,88
6830,96
9528,74
8062,68
2454,37
1386,73
472,93
7525,77
4882,73
675,17
5505,8
1753,98
6498,68
2945,54
1,27
7875,50
1241,38
6477,64
1874,94
1012,22
2938,97
8745,43
7051,57
5911,51
6412,91
8528,41
4840,56
2335,66
6560,50
9394,29
423,87
339,29
1943,59
5477,29
9031,52
1039,99
5872,39
5010,57
6840,22
6728,11
4044,57
9864,20
9524,17
9564,72
5843,57
4235,52
9944,13
1413,87
7213,16
5427,63
5558,60
2334,19
362,76
6903,38
2211,29
8425,71
9097,8
9631,78
4312,62
7427,19
8567,51
8271,11
9513,32
4914,26
2046,12
2835,19
2414,86
3108,2
7450,46
6088,53
6858,64
8741,77
177,12
4925,79
9044,31
1250,36
2937,36
9721,66
1163,83
5070,81
6659,25
9014,13
8143,93
143,96
4305,8
9758,25
1612,67
5870,65
5441,68
4867,14
4805,36
1704,80
1764,65
2331,12
9077,54
8921,28
7806,78
2469,98
3673,91
8426,48
9618,8
5800,62
1122,60
5207,14
9710,71
2830,93
9939,95
5322,37
1008,79
3754,43
1168,67
3668,19
588,62
3039,47
489,2
3051,61
9964,21
8572,18
5503,19
7216,88
917,17
1360,53
8735,49
6631,33
762,76
6571,23
9062,49
1315,47
9979,7
2784,34
3493,41
3606,6
9527,55
8754,82
9691,86
5114,82
6133,74
3187,38
1553,20
9471,82
8345,93
5817,26
3658,99
6671,83
6548,6
9135,33
4586,89
1841,2
4445,42
1144,99
7191,1
9945,29
1645,62
4864,29
4448,47
5690,28
4400,10
2809,59
3825,41
6322,18
6116,76
9524,8
6759,4
7645,66
9460,85
6532,18
6334,78
1300,37
1067,41
9154,21
4996,65
3585,21
14,81
6572,58
666,29
5706,75
7278,74
3539,3
4158,11
5650,30
1334,4
7358,63
4044,27
6994,84
1176,73
9536,67
4445,62
1575,96
3703,98
8901,73
6521,93
3485,49
1800,56
8136,54
6831,22
3296,21
830,12
4760,48
3688,84
4164,27
3641,3
6058,69
2895,81
7949,85
8895,50
1763,19
6359,21
9279,86
3440,90
3041,92
5192,64
3776,99
6211,16
8348,5
1003,1
8304,93
6109,29
7552,18
5058,83
1664,22
8117,29
4669,12
2330,52
7621,14
153,14
3889,52
1756,21
8288,88
630,47
4273,49
380,65
7893,58
1792,67
442,92
8475,90
8647,85
4518,51
1226,93
5453,46
4252,10
2055,31
7701,78
2082,58
5817,42
6201,82
182,70
290,39
1719,27
8401,23
7585,21
4963,57
2328,45
3758,2
1408,16
3630,39
7568,3
3353,75
6611,56
8252,3
2238,96
9394,48
5312,55
9077,58
8117,95
1915,45
8461,75
4519,34
3895,39
8566,95
3585,20
2553,85
834,26
2118,3
3927,18
4709,93
600,83
4687,67
5389,42
3055,50
8996,17
200,1
7302,43
889,63
8873,41
8845,74
9105,82
5599,89
5858,11
2938,40
4771,83
6635,65
1827,4
1608,12
4738,85
5471,87
7352,34
4125,21
3068,29
3242,58
7627,72
2918,9
9223,52
6610,8
4285,14
1650,74
8035,30
9191,83
7978,5
9029,87
7781,81
7495,41
617,65
1048,36
9016,22
9055,20
1673,37
5162,58
3761,56
8256,95
1034,37
1505,56
9256,77
592,78
1785,9
6261,8
9201,10
1356,96
3205,74
8450,83
1290,47
3977,58
2273,24
7854,3
1052,84
6531,27
659,7
1865,73
479,76
3042,51
9242,76
7843,50
7982,82
3313,58
2931,22
1051,78
979,58
138,7
1079,40
7148,17
887,53
556,59
6193,39
7404,85
9384,3
1222,26
6754,80
4781,51
3638,34
2701,94
6238,59
2246,52
5161,22
1648,95
8234,52
2281,19
5866,69
9148,10
2288,97
9343,17
2719,50
6211,88
9629,21
274,97
9812,54
7428,90
3735,73
66,37
9712,17
5291,46
4122,68
731,39
8494,44
2573,8
170,15
4171,4
7275,83
9808,72
7791,83
4248,85
760,67
9510,42
7514,21
6532,15
6990,68
2344,64
6403,68
4674,17
108,3
4198,73
6224,53
8879,44
3192,72
2199,96
7742,4
1662,4
2136,23
3302,54
9349,78
1,24
1,34
1,90
10,54
10,72
100,63
100,9
11,30
12,32
12,94
13,25
13,84
14,23
14,26
14,88
15,75
15,90
15,95
17,66
2,18
20,39
21,20
21,62
21,68
21,84
22,47
23,47
23,58
25,12
25,63
25,88
26,46
27,24
27,90
28,21
28,59
29,60
3,22
3,33
3,92
31,3
32,72
32,78
32,98
34,66
34,95
34,96
36,17
36,73
37,50
4,15
4,6
40,16
40,25
42,100
48,46
49,6
5,41
50,45
52,53
54,30
55,43
56,11
56,56
58,68
58,72
58,79
6,2
6,32
6,50
60,31
60,8
61,28
64,22
64,34
67,46
7,64
7,75
7,89
74,19
74,47
75,81
76,48
77,75
8,18
80,36
80,37
80,41
80,7
82,34
87,32
93,14
94,48
97,30
97,63
98,39
98,49
99,47
35229,5180
991052,3380
526504,5534
62595,7789
347307,2614
843561,5504
149175,1307
504692,8053
102423,4888
921745,8198
433679,6954
654348,2651
846553,1748
49373,6171
243247,1797
128965,2679
364961,2209
993039,305
151427,31
317636,5395
748825,6171
798916,6131
193304,4010
841133,6668
609322,4044
353623,5419
420605,2987
147063,1028
430529,5545
888773,7243
183701,9075
932800,8360
624350,2686
682850,1299
874935,5948
934961,9073
315164,678
167458,2276
361592,7849
917896,3372
737952,6394
317166,4916
791146,8692
157188,672
949372,4359
19764,378
280325,9391
493690,1384
999074,5040
159774,328
139856,8388
122854,7508
933095,7839
722824,6434
902795,9276
166942,2315
322129,3363
530351,3611
564949,5149
831892,8128
282564,289
791293,2207
842434,8139
766988,3039
329419,1676
212798,8923
232884,1021
607982,9605
755955,955
407722,7406
71719,3369
104298,7957
636032,9525
581243,8114
322949,8884
210708,1938
126629,3160
768474,7319
740407,4061
879531,9558
351998,829
710520,8731
871729,5024
287591,6075
366474,151
201082,6477
522847,7118
474235,387
613650,5149
572401,1496
828256,1106
202960,3671
447384,4293
848635,7814
732201,9643
608548,3427
47543,2893
435067,9265
748736,1129
697005,344
357234,944
935665,4503
583648,4717
771205,3051
934103,6732
981862,8716
641669,6133
356605,6721
953086,224
269423,4019
353662,9937
121707,3328
665816,131
764404,7754
701096,2117
453163,6622
66648,652
154384,639
724861,9617
625527,8768
838469,7947
318133,2148
26045,7119
691826,6604
673981,5647
287043,4235
480435,688
821312,3878
434856,1703
744849,6595
232088,6127
971402,5963
345279,3060
92959,5384
974114,3171
254451,1411
136315,2716
837384,611
368463,5972
700178,7051
216769,1082
857520,3626
148981,4111
193949,2372
81716,6225
602878,4203
575900,602
466042,7433
460015,391
358918,6151
705006,2126
985957,5533
222780,1449
771592,5168
739683,3836
614594,1413
479343,8396
955630,587
958008,3881
690788,1050
53911,5190
249758,5741
445974,7396
206130,2327
331850,3659
916061,2200
583772,8600
443104,3827
426521,6398
170726,2612
595255,1828
13605,8401
304592,411
828147,7232
513257,8744
394439,8764
132751,6819
701257,2954
139256,3131
217931,6497
963040,9942
631302,1886
323393,5868
134617,8998
997804,4976
348674,4890
322683,7188
570185,3089
133404,2681
21244,3194
933025,4243
71056,3289
55650,3013
367505,4334
819770,6610
765235,2868
32362,662
289906,4125
423574,2594
268523,1249
136023,1839
945184,8453
45492,2923
737096,2999
799716,3442
625312,5248
359989,4136
852131,738
968563,9649
776903,6294
481465,1623
655988,4719
216410,6288
562359,4531
97382,9263
577630,4831
12782,3660
421681,8776
810574,2161
457777,7442
798703,1443
591044,3061
464368,4949
956840,5000
723101,7864
472139,4062
440874,8620
675197,6253
722221,3555
539575,7534
923413,3946
698846,2941
268965,8420
638795,4958
470085,2841
432101,326
687930,1438
293862,6526
164113,8111
512427,2716
874890,1330
339143,4159
15606,3916
652330,9716
796678,8596
194621,4184
503895,2331
800160,5871
155739,4291
369428,5765
153340,4528
739506,9922
438176,3832
576130,1881
497353,3656
640962,2496
134062,3449
13237,2356
501922,7207
535194,8774
834675,7828
840432,9602
73949,1841
419834,6988
205350,9291
637687,502
85619,1307
900981,2116
68140,4639
177730,6245
837677,3592
568330,5954
285153,7379
703341,1625
946501,6614
575750,7364
197529,7938
141511,8278
886057,26
125613,8809
314226,8453
159187,5560
695346,5229
575156,1625
334634,2259
882052,4608
432592,6329
527948,8807
233517,1790
675708,8234
663849,3114
350573,64
725972,7276
36493,4762
223155,2278
90520,5323
853321,6007
803034,3147
109087,1657
351609,2519
766659,9244
586896,7901
324618,9197
660704,8530
606051,8382
764086,9925
588787,2493
899274,593
625751,1103
702362,628
761096,3333
915203,730
125868,5003
999359,5685
783994,9339
384106,3559
197519,5129
382417,1369
454849,7265
740737,6769
327514,8298
846151,7488
484593,4035
747563,5496
33804,2992
916070,7908
509032,3843
839420,1778
922168,5689
158540,8715
934820,9228
527589,4396
534796,8996
62535,5659
868423,8681
449789,1527
827171,810
119624,6322
574601,7811
238980,6470
630318,4262
57068,2977
716424,4974
677527,5502
884548,1332
760143,1572
400008,4909
100381,1862
139484,8355
732302,2909
850627,8963
893936,382
833391,8287
687205,4566
435971,3950
38017,3192
804647,133
280523,1139
630703,176
831465,3154
481696,8543
25203,6047
101424,1717
159039,8693
648601,1943
95442,8708
536552,7575
534183,8226
251118,5551
91210,5398
734568,6836
197718,6302
466372,9669
431453,8505
275552,8127
550309,7442
446428,1389
510755,6498
852459,3801
735156,769
436964,7302
296412,3298
497389,9775
585062,7105
678195,4419
443540,132
131109,3392
791217,6713
836759,4035
843716,6675
729127,2865
573841,2810
677229,9483
452623,9530
996505,7275
695721,6272
578445,6481
717356,4407
895186,5505
52912,7923
284391,38
435558,2322
616765,1529
665207,3500
598839,1699
407377,4176
718709,838
500338,3755
85570,4061
809732,372
981051,8659
485430,707
18751,7000
294676,4075
131692,6147
288163,5833
225276,7677
686569,5831
100049,4831
88979,8106
73690,6692
431123,7560
680193,8375
769104,4615
701170,7515
328309,8318
340709,1487
803272,168
805138,6256
741390,8687
458197,5209
759673,7493
996251,218
947102,1260
66420,2108
294674,805
367693,4332
505207,4517
561665,4449
468125,4234
380507,912
442516,5712
52414,9292
487805,2054
769475,2222
16582,9838
847856,6318
31430,991
773070,8769
37537,7389
72632,7402
399644,6641
867828,9989
150567,1372
206710,154
283928,3658
246725,8654
859346,8068
556267,8345
699250,6118
931506,5981
98082,3152
788986,3557
192920,4408
170870,3978
270801,4172
800343,8042
592574,9451
682842,7987
740091,8942
235994,5647
924924,7152
94421,3770
511396,4067
836932,2009
630988,7193
596186,3235
228051,1598
139929,6516
411175,6046
958788,4641
66047,4910
347015,2575
656807,2143
171736,7720
576781,123
382765,5838
284409,9401
208191,4526
370623,3035
693023,1686
553905,9284
111416,2883
899450,1521
994906,5027
293003,4357
524915,749
705672,534
352805,5223
751419,1932
367207,6222
782437,8983
306616,8337
751221,2355
102062,9585
147634,4365
153050,7299
17379,8732
646376,8253
310309,6318
883256,7027
575627,9479
161735,8007
52599,5691
655463,4920
897143,1861
922957,629
494143,4769
192813,4332
696805,9277
591772,817
765944,9681
229177,6456
921683,2411
277720,3321
282150,7017
627835,7190
230067,9796
256798,3627
781424,3241
459599,8253
629135,5113
535425,1766
252916,6902
332428,6982
597377,4264
807934,8815
194318,3283
160272,9459
223573,5508
650736,5236
93860,9483
390985,2858
395276,5348
264091,9407
73489,8481
487406,2250
148765,7757
155001,3453
529236,4320
488032,8556
965753,545
984594,3498
114985,3233
720937,3020
559090,3332
816550,1349
372072,2201
414766,1308
524304,8359
495531,1860
533986,4379
69383,6831
300613,9550
640757,2429
807478,3721
747661,7694
817575,5258
429397,3155
602305,8068
124741,313
469766,8443
367556,9870
133722,682
89468,2175
371212,9033
486423,9109
306253,5506
277423,8754
264315,498
391593,3925
385585,7973
535959,9639
354646,8342
500977,8075
446588,5746
748720,808
584918,3416
684899,9792
850214,8214
198941,3860
657468,5872
920332,6924
956673,8756
415552,410
187430,2893
883236,9515
723636,6534
501244,7107
574291,8900
214486,7881
800895,4530
199337,4878
56630,496
171651,7089
120303,128
810934,4596
317463,3853
147912,1534
626561,9088
220292,2258
367332,6449
190757,4784
24217,6596
644660,4130
628387,8341
638535,3435
104450,2953
240625,3411
86838,4792
708738,9609
987841,5415
956613,5843
797498,2638
809078,2187
994648,5212
238855,2211
599950,8403
930392,4520
186754,1505
862699,4768
204227,8344
865371,7208
757590,142
877972,9051
233440,8563
925855,7756
662637,5038
644356,3582
888258,3354
311499,6880
607484,7640
237698,1824
389162,8798
598521,8309
802944,400
285274,5818
645052,8752
43185,302
670775,5207
313177,8271
337080,4839
232589,172
891072,3916
526914,851
849854,4474
21992,2026
151345,9355
387269,6257
886498,9158
114134,6748
243415,4630
433693,711
554062,2449
530012,9008
765856,1753
76970,7647
352759,1067
27049,977
764724,5360
535211,7105
641443,6126
835388,1087
513484,8831
939658,1052
826408,592
60084,3878
837285,8553
706738,3738
148999,2187
103967,3789
719050,6701
785164,7316
630301,5271
176373,9415
686408,1337
809882,9907
467408,6662
385591,8228
488380,9337
148981,592
835095,1027
166924,1314
991346,9196
591749,3889
627660,8135
607601,5702
821071,4232
278086,4955
256576,8547
946363,5242
719122,4614
915071,8172
877930,2555
972742,4572
430034,7443
454857,5968
328392,5057
401528,121
90300,7141
97782,7940
468897,8960
939323,9988
461528,7206
425469,4280
639633,2676
27172,8083
479140,7809
933424,5092
772325,6166
733941,7409
201629,5710
806802,3523
692273,7659
237392,1787
985894,5756
908885,7383
474728,5710
649857,5528
926283,8960
891157,6738
622261,2550
69037,9950
166191,2738
315910,7360
318025,7767
790270,1917
498884,6171
45892,8038
349149,5772
232982,104
517137,3244
920367,6709
48656,7658
293204,5641
572355,8910
749095,2958
621630,2069
664795,4331
297599,5591
722622,8829
569049,7278
335060,9947
53125,1661
222426,798
594254,3755
736865,1072
389384,373
339153,5532
586744,5689
613569,2145
940154,3778
40036,6329
519070,8595
666619,5255
228970,6140
261881,2548
412867,3418
19196,8229
278961,7936
708335,4432
699435,9861
985787,9534
671964,2099
112244,8380
854173,9230
180060,2354
312152,7374
621176,8485
219412,2956
21358,7183
458661,9045
917045,6723
422367,4158
846023,9898
962590,6824
230481,4728
576325,6603
677174,8524
433053,6967
501813,7268
66900,4400
480608,6679
762359,3349
202327,7928
141181,3766
430640,6459
637871,3426
858165,1165
825498,9840
232577,3858
378717,6974
634707,9733
580905,8956
722757,647
154706,8304
324936,9340
110638,3603
423862,7063
255682,3904
173363,1638
703073,8943
384856,9841
179806,9788
931341,7641
440022,5002
540206,4884
594800,5145
353145,6897
476008,4884
823358,1106
506059,3198
873422,3546
393114,3690
761748,6543
236989,5141
39864,3487
575476,6232
791001,9916
181732,7311
390566,213
967566,5968
143363,2056
133215,9276
778995,4344
87567,1603
295701,9605
